freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_GDP,S13,TOTAL,TE,AT	51.2 	51.6 	52.4 	51.1 	50.1 	49.3 	48.8 	48.6 	56.7 	56.0 
A,PC_GDP,S13,TOTAL,TE,BE	56.5 	56.1 	55.6 	53.7 	53.1 	52.0 	52.2 	51.8 	59.2 	: 
A,PC_GDP,S13,TOTAL,TE,BG	34.3 	37.8 	43.2 	40.4 	34.8 	34.8 	36.9 	35.5 	41.8 	: 
A,PC_GDP,S13,TOTAL,TE,CY	42.2 	43.0 	49.4 	40.6 	37.5 	36.5 	42.7 	38.4 	45.1 	: 
A,PC_GDP,S13,TOTAL,TE,CZ	44.7 	42.7 	42.6 	41.9 	39.8 	39.0 	40.6 	41.1 	47.2 	: 
A,PC_GDP,S13,TOTAL,TE,DE	44.9 	44.9 	44.3 	44.1 	44.4 	44.2 	44.3 p	45.0 p	50.8 p	: 
A,PC_GDP,S13,TOTAL,TE,DK	58.0 	55.8 	55.2 	54.5 	52.5 	50.5 	50.5 	49.7 	53.5 	50.8 
A,PC_GDP,S13,TOTAL,TE,EA19	50.0 	49.9 	49.3 	48.4 	47.7 	47.1 	46.9 	46.9 	53.5 	: 
A,PC_GDP,S13,TOTAL,TE,EE	39.2 	38.4 	37.8 	39.5 	39.4 	39.2 	39.4 	39.4 	45.9 	: 
A,PC_GDP,S13,TOTAL,TE,EL	56.7 	62.8 	50.7 	54.1 	49.9 	48.5 	48.5 	47.9 	59.8 	: 
A,PC_GDP,S13,TOTAL,TE,ES	48.7 	45.8 	45.1 	43.9 	42.4 	41.2 	41.7 	42.1 	52.4 p	: 
A,PC_GDP,S13,TOTAL,TE,EU27_2020	49.7 	49.6 	49.0 	48.1 	47.4 	46.7 	46.5 	46.5 	52.9 	: 
A,PC_GDP,S13,TOTAL,TE,FI	55.4 	56.8 	57.3 	56.5 b	55.6 	53.6 	53.3 	53.3 	57.5 	: 
A,PC_GDP,S13,TOTAL,TE,FR	57.1 	57.2 	57.2 	56.8 	56.7 	56.5 	55.6 	55.4 p	61.6 p	: 
A,PC_GDP,S13,TOTAL,TE,HR	48.4 	48.3 	48.7 	48.2 	46.9 	44.7 	45.5 	46.0 	54.5 	: 
A,PC_GDP,S13,TOTAL,TE,HU	49.1 	50.0 	50.0 	50.4 	46.8 	46.7 	46.1 	45.7 	51.6 	: 
A,PC_GDP,S13,TOTAL,TE,IE	42.5 	40.6 	37.6 	29.1 	28.1 	26.2 	25.3 	24.2 	27.4 	: 
A,PC_GDP,S13,TOTAL,TE,IS	47.7 	46.0 	45.8 	43.5 	46.4 	44.4 	43.8 	43.3 	50.5 	: 
A,PC_GDP,S13,TOTAL,TE,IT	50.6 	51.0 	50.9 	50.3 	49.1 	48.8 	48.4 	48.5 	57.1 	: 
A,PC_GDP,S13,TOTAL,TE,LT	36.2 	35.6 	34.7 	35.2 	34.2 	33.2 	34.0 	34.8 	42.9 	: 
A,PC_GDP,S13,TOTAL,TE,LU	41.8 	41.2 	40.6 	40.4 	40.0 	41.3 	42.1 	42.9 	47.2 	: 
A,PC_GDP,S13,TOTAL,TE,LV	38.8 	38.5 	38.9 	38.6 	37.4 	38.7 	39.3 	38.2 	43.1 	: 
A,PC_GDP,S13,TOTAL,TE,MT	42.1 	40.8 	40.2 	38.5 	36.4 	34.4 	35.7 	36.0 	45.9 	: 
A,PC_GDP,S13,TOTAL,TE,NL	47.0 	46.8 	46.1 	44.8 	43.6 	42.5 	42.3 	42.1 	47.8 	46.6 
A,PC_GDP,S13,TOTAL,TE,NO	43.3 	44.4 	46.3 	49.3 	51.5 	50.5 	48.8 	51.6 	58.5 	: 
A,PC_GDP,S13,TOTAL,TE,PL	43.1 	43.0 	42.6 	41.7 	41.1 	41.3 	41.5 	41.8 	48.7 	: 
A,PC_GDP,S13,TOTAL,TE,PT	48.9 	49.9 	51.7 	48.2 	44.8 	45.4 	43.2 	42.5 	49.3 p	: 
A,PC_GDP,S13,TOTAL,TE,RO	36.2 	36.0 	35.4 	36.0 	35.0 	33.6 	34.5 	36.0 	41.5 	: 
A,PC_GDP,S13,TOTAL,TE,SE	51.0 	51.7 	50.7 	49.3 	49.7 	49.2 	49.9 	49.1 	52.1 	: 
A,PC_GDP,S13,TOTAL,TE,SI	49.4 	60.3 	50.8 	48.7 	46.2 	44.1 	43.5 	43.3 	51.3 	: 
A,PC_GDP,S13,TOTAL,TE,SK	41.3 	42.6 	43.4 	45.7 	42.7 	39.6 	39.8 	40.7 	45.6 	: 
